select_box,parent_product_id,product_id,search_term,cluster_id,inf_config,kw-prediction_iteration_selected,kw-target_rank,kw-estimated_additional_sales,kw-estimated_additional_loss,kw-total_soft_score,kw-total_hard_score,sr_rc-prediction_iteration_selected,sr_rc-target_rank,sr_rc-estimated_additional_sales,sr_rc-estimated_additional_loss,sr_rc-total_soft_score,sr_rc-total_hard_score,kw_sr_rc-prediction_iteration_selected,kw_sr_rc-target_rank,kw_sr_rc-estimated_additional_sales,kw_sr_rc-estimated_additional_loss,kw_sr_rc-total_soft_score,kw_sr_rc-total_hard_score,pr-prediction_iteration_selected,pr-target_rank,pr-estimated_additional_sales,pr-estimated_additional_loss,pr-total_soft_score,pr-total_hard_score,total_soft_score_product,color_code,biz_configuration_id,session_id
TRUE,B076WNBQW7,B07MCYL916,recessed ceiling lights,1,kw,13,1,1138.93,0,18.18,-1.29,54,1,1138.93,1625,0,-1.53,11,1,1138.93,306.43,0,-1.51,1,13,0,0,0,-2.52,0,2.1,107,9f440b6d-b2d5-43eb-9f24-a23f7a88ec07
TRUE,B07N2B7QGN,B07N2HTHC1,light sensing outdoor bulb,1,kw,20,1,745.93,0,26.14,0,5,19.33,0.79,80.55,0,-1.98,18,1,745.93,342.44,0,-0.96,1,20,0,0,0,-1.97,0,1.1,107,9f440b6d-b2d5-43eb-9f24-a23f7a88ec07
FALSE,B07N2B7QGN,B07N2HTHC1,anti bug porch light,2,kw,100,13.34,7.95,0,0,-3.61,99,82.46,0.05,2076.74,0,-3.72,100,9.77,12.15,2174.54,0,-3.64,1,86,0,0,0,-3.71,0,1.2,107,9f440b6d-b2d5-43eb-9f24-a23f7a88ec07
FALSE,B0DR3DHHD5,B07N8KXV1G,dusk till dawn outdoor light,1,kw,11,127.72,0.27,0,0,-2.99,96,124.76,0.34,1459.05,0,-2.99,100,68.38,2.98,1556.86,0,-2.97,1,141,0,0,0,-2.99,0,2.1,107,9f440b6d-b2d5-43eb-9f24-a23f7a88ec07
FALSE,B0CY768D6D,B07NLHZV5W,disc lights outdoor,1,kw,68,1,794.46,0,4.32,0,81,39.37,2.24,573.78,0,-1.96,56,1,794.46,393.06,0,-0.88,1,51,0,0,0,-1.93,0,1.1,107,9f440b6d-b2d5-43eb-9f24-a23f7a88ec07
FALSE,B07NVYKBQB,B07NVYKBQB,smart flood light bulb,1,kw,45,1,1237.95,0,23.73,-0.57,100,1.16,1025.74,434.97,0,-1.56,36,1,1237.95,144.2,0.12,-1.5,1,34,0,0,0,-2.56,0,2.1,107,9f440b6d-b2d5-43eb-9f24-a23f7a88ec07
FALSE,B0CY768D6D,B07PW9ND7J,led ceiling light flush mount,1,kw,51,1,3796.84,0,30.35,0,92,24.44,32.45,657.24,0,-1.94,43,1,3796.84,299.96,0.09,-0.93,1,40,0,0,0,-1.98,0,1.1,107,9f440b6d-b2d5-43eb-9f24-a23f7a88ec07
TRUE,B0CY768D6D,B07PW9ND7J,led flush mount ceiling light 6 inch,1,kw,23,1,949.05,0,12.2,-0.83,90,1,949.05,641.44,0,-0.99,20,1,949.05,135.59,0.14,-0.97,1,19,0,0,0,-1.98,0,1.1,107,9f440b6d-b2d5-43eb-9f24-a23f7a88ec07
FALSE,B0CY768D6D,B07PW9ND7J,flush mount led ceiling light,1,kw,87,18.15,49.25,0,0.12,-0.92,56,67.67,1.84,393.1,0,-1.98,100,2.97,554.88,761.01,0,-1.06,1,78,0,0,0,-1.97,0,1.1,107,9f440b6d-b2d5-43eb-9f24-a23f7a88ec07
FALSE,B0CY768D6D,B07PW9ND7J,led flush mount ceiling light,1,kw,75,36.71,25.91,0,0.08,-1.79,56,85.38,1.76,393.1,0,-1.99,75,23.8,52.54,530.08,0,-1.89,1,96,0,0,0,-1.98,0,1.1,107,9f440b6d-b2d5-43eb-9f24-a23f7a88ec07
FALSE,B0CY768D6D,B07PW9ND7J,flush mount led light,1,kw,91,22.96,17.11,0,0.04,-0.97,56,73.77,0.74,393.1,0,-1.98,92,8.93,65.22,657.24,0,-1.86,1,84,0,0,0,-1.98,0,1.1,107,9f440b6d-b2d5-43eb-9f24-a23f7a88ec07
